"procent_chorych","sd","N","beta","gamma","siec_typ","l_krokow","proc_chorych0","k_sr","lambda_kr","lambda","wsp"
0.895,0.0362859017617954,100,0.8001,0.1,"ba",100,0.2,1.98,0.227064220183486,8.001,35.2367272727273
0.05,0,1000,0,0,"fg",100,0.05,999,0.001001001001001,NA,NA
0,0,1000,0,0.1,"fg",100,0.05,999,0.001001001001001,0,0
0,0,1000,0,0.2,"fg",100,0.05,999,0.001001001001001,0,0
0,0,1000,0,0.3,"fg",100,0.05,999,0.001001001001001,0,0
0,0,1000,0,0.4,"fg",100,0.05,999,0.001001001001001,0,0
0,0,1000,0,0.5,"fg",100,0.05,999,0.001001001001001,0,0
0,0,1000,0,0.6,"fg",100,0.05,999,0.001001001001001,0,0
0,0,1000,0,0.7,"fg",100,0.05,999,0.001001001001001,0,0
0,0,1000,0,0.8,"fg",100,0.05,999,0.001001001001001,0,0
0,0,1000,0,0.9,"fg",100,0.05,999,0.001001001001001,0,0
0,0,1000,0,1,"fg",100,0.05,999,0.001001001001001,0,0
1,0,1000,0.1,0,"fg",100,0.05,999,0.001001001001001,Inf,Inf
0.4621,0.00768042244208538,1000,0.1,0.1,"fg",100,0.05,999,0.001001001001001,1,999
0.2802,0.00990847000186091,1000,0.1,0.2,"fg",100,0.05,999,0.001001001001001,0.5,499.5
0.1791,0.00558669053296414,1000,0.1,0.3,"fg",100,0.05,999,0.001001001001001,0.333333333333333,333
0.1299,0.00964307465951026,1000,0.1,0.4,"fg",100,0.05,999,0.001001001001001,0.25,249.75
0.0866,0.00983418075444575,1000,0.1,0.5,"fg",100,0.05,999,0.001001001001001,0.2,199.8
0.0608,0.00567254596964871,1000,0.1,0.6,"fg",100,0.05,999,0.001001001001001,0.166666666666667,166.5
0.0388,0.0078429019572548,1000,0.1,0.7,"fg",100,0.05,999,0.001001001001001,0.142857142857143,142.714285714286
0.0277,0.00333499958354154,1000,0.1,0.8,"fg",100,0.05,999,0.001001001001001,0.125,124.875
0.0107,0.00427005074130663,1000,0.1,0.9,"fg",100,0.05,999,0.001001001001001,0.111111111111111,111
0,0,1000,0.1,1,"fg",100,0.05,999,0.001001001001001,0.1,99.9
1,0,1000,0.2,0,"fg",100,0.05,999,0.001001001001001,Inf,Inf
0.6417,0.0175185615847877,1000,0.2,0.1,"fg",100,0.05,999,0.001001001001001,2,1998
0.4446,0.0118995798245148,1000,0.2,0.2,"fg",100,0.05,999,0.001001001001001,1,999
0.3155,0.0111679103785006,1000,0.2,0.3,"fg",100,0.05,999,0.001001001001001,0.666666666666667,666
0.2315,0.0114915427839588,1000,0.2,0.4,"fg",100,0.05,999,0.001001001001001,0.5,499.5
0.164,0.00795822425754221,1000,0.2,0.5,"fg",100,0.05,999,0.001001001001001,0.4,399.6
0.1179,0.00997162641364654,1000,0.2,0.6,"fg",100,0.05,999,0.001001001001001,0.333333333333333,333
0.0802,0.00823002632640585,1000,0.2,0.7,"fg",100,0.05,999,0.001001001001001,0.285714285714286,285.428571428571
0.0464,0.00560158707669333,1000,0.2,0.8,"fg",100,0.05,999,0.001001001001001,0.25,249.75
0.0234,0.00359629438913631,1000,0.2,0.9,"fg",100,0.05,999,0.001001001001001,0.222222222222222,222
0,0,1000,0.2,1,"fg",100,0.05,999,0.001001001001001,0.2,199.8
1,0,1000,0.3,0,"fg",100,0.05,999,0.001001001001001,Inf,Inf
0.7213,0.0100338316598286,1000,0.3,0.1,"fg",100,0.05,999,0.001001001001001,3,2997
0.5395,0.0066874675492463,1000,0.3,0.2,"fg",100,0.05,999,0.001001001001001,1.5,1498.5
0.4062,0.0130877381120226,1000,0.3,0.3,"fg",100,0.05,999,0.001001001001001,1,999
0.3133,0.0113141995347047,1000,0.3,0.4,"fg",100,0.05,999,0.001001001001001,0.75,749.25
0.2224,0.015313030036178,1000,0.3,0.5,"fg",100,0.05,999,0.001001001001001,0.6,599.4
0.1635,0.0126337291054982,1000,0.3,0.6,"fg",100,0.05,999,0.001001001001001,0.5,499.5
0.1066,0.00818127944354264,1000,0.3,0.7,"fg",100,0.05,999,0.001001001001001,0.428571428571429,428.142857142857
0.0691,0.00846496045800307,1000,0.3,0.8,"fg",100,0.05,999,0.001001001001001,0.375,374.625
0.0315,0.00512618549974323,1000,0.3,0.9,"fg",100,0.05,999,0.001001001001001,0.333333333333333,333
0,0,1000,0.3,1,"fg",100,0.05,999,0.001001001001001,0.3,299.7
1,0,1000,0.4,0,"fg",100,0.05,999,0.001001001001001,Inf,Inf
0.797,0.0139761701954911,1000,0.4,0.1,"fg",100,0.05,999,0.001001001001001,4,3996
0.6248,0.018801891157836,1000,0.4,0.2,"fg",100,0.05,999,0.001001001001001,2,1998
0.4745,0.0077638764659014,1000,0.4,0.3,"fg",100,0.05,999,0.001001001001001,1.33333333333333,1332
0.358,0.0125521135891752,1000,0.4,0.4,"fg",100,0.05,999,0.001001001001001,1,999
0.2811,0.0117799264287459,1000,0.4,0.5,"fg",100,0.05,999,0.001001001001001,0.8,799.2
0.2058,0.011905180945006,1000,0.4,0.6,"fg",100,0.05,999,0.001001001001001,0.666666666666667,666
0.1406,0.0105640901169954,1000,0.4,0.7,"fg",100,0.05,999,0.001001001001001,0.571428571428572,570.857142857143
0.0949,0.00869802020896454,1000,0.4,0.8,"fg",100,0.05,999,0.001001001001001,0.5,499.5
0.0414,0.00400555170287995,1000,0.4,0.9,"fg",100,0.05,999,0.001001001001001,0.444444444444444,444
0,0,1000,0.4,1,"fg",100,0.05,999,0.001001001001001,0.4,399.6
1,0,1000,0.5,0,"fg",100,0.05,999,0.001001001001001,Inf,Inf
0.8177,0.0146367118347439,1000,0.5,0.1,"fg",100,0.05,999,0.001001001001001,5,4995
